EventType,Profile_Group,Profile_Group_Description,Granularity,Refined_Definition,Cumulativity,Atomicity,Homeomericity,Agentivity
Achieve,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",the moment of mission accomplishment,"Mission accomplishment denotes the transition at which an executing force realises the objective or end state assigned by its higher echelon, completing the commander's intent as set out in the operation order. At this granularity the event is a single evaluative transition: prior to accomplishment the mission status is open; after accomplishment the force's responsibility for the operation concludes [ADP 3-0; FM 6-0].",anti-cumulative,atomic,homeomeric,agentive
Arrest,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",the act of taking into custody,"Apprehension is the single act by which a person authorised under Article 7 of the Uniform Code of Military Justice takes another into custody, effected by notifying the subject of the intention to apprehend and of the offence charged [Manual for Courts-Martial, R.C.M. 302]. At this granularity the act is a transition from at-liberty to in-custody status; the continuing condition that follows is treated under Imprisonment.",anti-cumulative,atomic,homeomeric,agentive
Killing,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",a single lethal act against a single subject,"At this resolution, killing is the act that transitions a person from alive to deceased. Its lawfulness in armed conflict is governed by the principles of distinction and proportionality and by the prohibition on attacking persons hors de combat and civilians not directly participating in hostilities [Geneva Conventions, Common Article 3; AP I, Art. 51; FM 6-27]. Multi-victim and campaign-level uses of the term are anti-atomic and fall outside this granularity.",anti-cumulative,atomic,homeomeric,agentive
Surrendering,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",the declarative act of laying down arms,"Surrender is the single act by which a combatant or formation ceases resistance and submits to the authority of the adversary, conferring prisoner-of-war status on members of regular armed forces and other combatants who lay down their arms [GC III, Art. 4]. The continuing condition of detention that follows is treated under Imprisonment.",anti-cumulative,atomic,homeomeric,agentive
Use firearm,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",the discharge of a weapon,"At this resolution the event is the single discharge act, governed by the standing rules of engagement [CJCSI 3121.01]. Discharge may be for engagement of an identified target, suppression, warning, or signalling; engagement firing requires positive identification of the target as a lawful military objective [FM 3-90; FM 6-27]. Sustained fires and fire missions, being phased and directed by a fire-support plan, are anti-atomic and fall outside this granularity.",anti-cumulative,atomic,homeomeric,agentive
Scrutiny,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",the issuance of a finding,"At this resolution the event is the single act by which the responsible authority records a compliance determination against prescribed standards for personnel, equipment, training, or operations [AR 1-201]. The preparatory examination activities that precede the finding are subordinated to the issuance act at this granularity; the broader command oversight process is treated separately under the commander's assessment cycle [FM 6-0].",anti-cumulative,atomic,homeomeric,agentive
Rewards and punishments,A,"Tactical Transition Events (anti-cumulative, atomic, homeomeric, agentive)",the granting or imposition act,At this resolution the event is the single authoritative act that confers an award or imposes a sanction. Awards are granted under the relevant service regulations [AR 600-8-22]; non-judicial punishment is imposed under Article 15 and judicial punishment under Articles 16 to 76 of the Uniform Code of Military Justice [MCM]. Deliberative proceedings that precede the act are excluded from this granularity.,anti-cumulative,atomic,homeomeric,agentive
Aiming,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",the engagement-acquisition sequence preceding discharge,"Aiming is the directed alignment of a weapon system on a designated target prior to engagement. At this granularity the event decomposes into distinguishable sub-phases (target detection, sight picture, refinement, hold) that are not themselves instances of aiming, justifying the anti-atomic and anti-homeomeric profile [ATP 3-21.8; DoD Dictionary].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Attack,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",an offensive task at brigade level and below,"An attack is a directed offensive task that destroys or defeats enemy forces, seizes and secures terrain, or both. At this granularity the operation comprises preparation, execution, and consolidation phases, each with internal structure not itself constituting an attack [FM 3-90]. Hasty and deliberate variants differ in planning time but share the phased structure.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Defending Repel,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a defensive operation against an identified enemy attack,"A defensive operation is a directed operation conducted to defeat an enemy attack, gain time, economise force, and develop conditions favourable for offensive or stability operations [ADP 3-0; FM 3-90]. At this granularity the operation comprises preparation of positions, security operations forward of the main defence, and the integrated employment of fires and obstacles during the engagement, each phase being structurally distinct from the others.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Besieging,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a deliberate prosecution of encirclement against a fixed position,"Besieging is the directed conduct of an encirclement intended to compel surrender of a fortified position or urban area through denial of resupply, reinforcement, and escape. At this granularity the operation comprises preparation, isolation, and reduction phases, each of which is not itself a siege [FM 3-90; JP 3-06].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Conquering,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",the operational sequence by which effective control over territory is acquired,"Conquering is the directed acquisition by a belligerent of effective control over identified territory through military force. At this granularity the event comprises seizure and consolidation of the objectives that constitute the territory, after which the occupying power assumes duties under GC IV and Section III of the Hague Regulations of 1907. Sub-phases (seizure, consolidation, transition to occupation administration) are structurally distinct.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Military operation,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a sequence of tactical actions sharing a common purpose,"A military operation is a directed sequence of tactical actions with a common purpose or unifying theme [DoD Dictionary]. At this granularity the operation comprises planning, preparation, execution, and assessment activities [FM 6-0]. Categorisation by level (strategic, operational, tactical) and by nature (offensive, defensive, stability, defence support of civil authorities) does not alter the phased structure on which the meta-property profile is based [ADP 3-0].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Patrolling,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a single patrol task under a higher echelon's order,"Patrolling is the directed movement of a detachment through a designated area or along a designated route for a specified purpose such as reconnaissance, surveillance, area security, or combat [DoD Dictionary; ATP 3-21.8]. At this granularity the task comprises briefing, movement, action at objective, and return phases, none of which is itself a patrol.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Criminal investigation,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",an investigation of a single alleged offence,"A military criminal investigation is the directed examination of an alleged offence against the Uniform Code of Military Justice, conducted by trained investigators or by service criminal investigation organisations [AR 195-2; ATP 3-39.12]. At this granularity the investigation comprises preliminary inquiry, evidence collection, suspect interview, and submission of a final report, each phase structurally distinct.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Rescuing,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a planned recovery of identified isolated personnel,"Rescuing, in personnel recovery, is the directed and planned recovery of personnel from the territory or custody of an adversary, executed by combat search and rescue, special operations, or conventional forces [JP 3-50]. At this granularity the operation comprises insertion, recovery action, extraction, and reintegration, each phase distinct from the others.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Emptying,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a single evacuation task with a defined reception point,"Evacuation is the directed removal of personnel, equipment, or materiel from a location to a place of safety or to a designated reception point [DoD Dictionary]. At this granularity the task comprises preparation, movement, and reception phases; doctrinal categories (CASEVAC, MEDEVAC, NEO) share this phased structure [JP 3-68; JP 4-02].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Escaping,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a single escape attempt by an interned combatant,"Escaping is the directed act by which an interned combatant departs from the place of internment with the intention of rejoining their own forces. At this granularity the attempt comprises planning, breakout, evasion, and recovery phases; only on successful return to friendly forces does prisoner-of-war status terminate [GC III, Arts. 91-94; FM 6-27].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
imprisonment,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",the directed conduct of internment as a continuing operation,"Imprisonment is the directed internment of captured combatants or other persons taken into custody by a party to a conflict, beginning at capture and terminating at repatriation or release [GC III, Arts. 17-20; FM 6-27]. At this granularity the conduct comprises reception, sustained custody, and release phases, each governed by distinct doctrinal and legal requirements.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Reveal secret,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",a single disclosure act by a person with authorised access,"Unauthorised disclosure is the directed communication, by a person with authorised access, of information formally designated as protected against unauthorised disclosure, to persons not authorised to receive it [DoDM 5200.01; UCMJ Art. 134]. At this granularity the act comprises preparation, communication, and consequence-management phases when treated as a deliberate disclosure operation; in its instantaneous sense the act would fall under Group A.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Reporting,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",the production and transmission of a single doctrinal report,"Reporting is the directed transmission of information to a higher headquarters, subordinate unit, or supporting agency in a structured format [FM 6-0]. At this granularity the event comprises information collection, drafting in the prescribed format (SITREP, SPOTREP, OPREP), and transmission, each phase distinct [AR 25-50].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Statement,B,"Tactical and Operational Conduct -- Phased Operations (anti-cumulative, anti-atomic, anti-homeomeric, agentive)",the deliberate issuance of a formal communication by an authorised representative,"A statement is the directed communication of information, intention, or position by an authorised representative of a military command. At this granularity the event comprises preparation, authorisation, and issuance phases. Sworn statements taken in military justice proceedings are governed by UCMJ Art. 31 [MCM, R.C.M. 305]; public statements are governed by service public-affairs doctrine [JP 3-61].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
