EventType,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity,CumulativityJustification,HomeomericityJustification,TemporalExtentJustification,AgentivityJustification
GiveUp,"An event where an Agent relinquishes control or responsibility over a Theme, leaving it without protection, possession, or supervision.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Achieve,An event where an Agent successfully achieves a Goal after a period of effort or work toward it.,anti-cumulative,anti-homeomeric,durative,agentive,,,,
GetReady,An event or condition where a Protagonist has completed all necessary preparations and is in a state of readiness to initiate a specific Activity.,anti-cumulative,anti-homeomeric,durative,agentive,,,,
Adducing,"An event where a Speaker presents or refers to an entity or example to support a claim, argument, or point.",cumulative,anti-homeomeric,durative,agentive,,,,
Choosing,"An event where an Agent or Cognizer selects a particular option, value, or course of action from a set of available possibilities, typically involving intentional decision-making.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Agree or refuse to act,An  event where an individual responds to a proposed action by either consenting to or rejecting participation in that action.,anti-cumulative,homeomeric,atomic,agentive,,,,
Aiming,An event where an Agent intentionally directs or adjusts an Instrument toward a specific Target location to prepare for interaction or action.,anti-cumulative,anti-homeomeric,durative,agentive,,,,
Arranging,An event where an Agent organizes elements into a structured configuration or prepares for an Event by completing necessary planning tasks.,anti-cumulative,anti-homeomeric,durative,agentive,,,,
Arrest,"An event where an Authority or Agent restrains a Suspect or Prisoner by taking them into custody, detaining them, or holding them confined as a consequence of suspicion, accusation, or conviction of wrongdoing.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Assistance,"An event where a Helper intentionally supports or enables a Benefited Party in achieving their Goal or overcoming an obstacle, either directly or by providing necessary aid.",cumulative,anti-homeomeric,durative,agentive,,,,
Preventing or letting,"An agent or condition influences whether an undesirable event or situation occurs, either by actively preventing it or by allowing it to happen.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Bearing arms,"An event or state where a Protagonist possesses or is equipped with a Weapon, with the extent of their armament potentially being specified.",cumulative,homeomeric,durative,agentive,,,,
Becoming,"An event where an Entity acquires a new quality, characteristic, or category membership, resulting in a change of its state or classification.",anti-cumulative,anti-homeomeric,durative,non-agentive,,,,
Becoming a member,An event where an individual or entity enters into membership within a socially-defined Group.,anti-cumulative,anti-homeomeric,atomic,agentive,,,,
Know,"A cognizer perceives or notices a phenomenon, thereby incorporating it into their understanding of the world, without necessarily reasoning from evidence.",cumulative,homeomeric,atomic,non-agentive,,,,
Being in operation,"An event or state where a Device or Object is functioning, turned on, or prepared to perform its intended role.",anti-cumulative,homeomeric,durative,agentive,,,,
Control,"An event where an Agent or Controlling Entity exerts, attempts, or maintains influence over a Dependent Entity, Situation, Variable, or themselves, either by directing its state, limiting its change, or preventing undesired outcomes.",cumulative,anti-homeomeric,durative,agentive,,,,
Breathing,"An event where an Agent moves air into or out of their body, typically as part of a natural physiological process.",cumulative,homeomeric,durative,non-agentive,,,,
Besieging,"An event where an Assailant surrounds and isolates a Victim, typically a fortified location, with the strategic goal of forcing surrender, weakening resistance, or preparing for invasion.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Carry goods,"An event or state where a Distributor provides, offers, or makes available a type or class of Goods for distribution, sale, or lending, typically maintaining the capacity to supply those Goods.",cumulative,homeomeric,durative,agentive,,,,
Bringing,"An event where an Agent or Carrier moves a Theme along a Path toward a Goal, controlling the movement during the process.",cumulative,anti-homeomeric,durative,agentive,,,,
Building,An event where an Agent assembles or constructs a new unified Entity by joining together multiple Components.,cumulative,anti-homeomeric,durative,agentive,,,,
Cause change of position on a scale,"An event where an Agent or a Cause alters the position of an Item along a measurable scale, changing it from one value to another.",cumulative,homeomeric,durative,agentive,,,,
Cause change of strength,"An event where an Agent causes a Patient to become stronger, more secure, or more resilient than before.",cumulative,anti-homeomeric,durative,agentive,,,,
Employment,An event or state where an Employee holds a Position and performs work in exchange for Compensation provided by an Employer.,cumulative,anti-homeomeric,durative,agentive,,,,
Change,"An event where an Agent or Cause induces a fundamental change in an Entity  either altering its attributes, category, or physical phase.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Expansion,"An event where an Agent or non-human Cause induces a change in the physical size or dimensions of an Item, either overall or along specific directions.",cumulative,anti-homeomeric,durative,non-agentive,,,,
Bodily harm,"An event where a bodily injury occurs to a person, either caused intentionally or accidentally, affecting the whole person or a specific body part.",anti-cumulative,anti-homeomeric,atomic,non-agentive,,,,
Cause to amalgamate,"An event where an Agent causes multiple Parts to be combined into a single Whole, such that the original parts lose their distinct separateness in the resulting entity.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Cause to be included,"An event where an Agent or Cause brings a New_member into an existing Group, making it part of that collective.",cumulative,anti-homeomeric,durative,agentive,,,,
Change sentiment,An event where an Agent intentionally causes an Experiencer to feel or undergo a specific internal mental or emotional state.,cumulative,anti-homeomeric,durative,agentive,,,,
Cause to make progress,An event where an Agent acts to advance a Project or Entity toward a more developed or improved state.,cumulative,anti-homeomeric,durative,agentive,,,,
Change of leadership,"An event where a Selector initiates the appointment of a New Leader or the removal of an Old Leader, resulting in a change in who holds a leadership position.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Change tool,"An event where an Agent replaces one Tool, resource, or implement (the Old_tool) with a different one (the New_tool) for accomplishing a task or function.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Communication,"An event where one or more parties convey, exchange, or respond to information, emotions, intentions, or requests, typically through language or symbolic means, either interactively or unidirectionally.",cumulative,anti-homeomeric,durative,agentive,,,,
Presence,"An event or state in which an Entity is understood to exist, either absolutely or within specific temporal, spatial, or situational boundaries, and may optionally be confirmed by an observer.",cumulative,"the provided event definition does not specify a particular event or action, making it impossible to determine whether it",durative,non-agentive,,,,
Collaboration,An event where two or more entities work together jointly and cooperatively toward a shared goal or task.,cumulative,anti-homeomeric,durative,agentive,,,,
Coming to be,"An event where an Entity comes into existence, typically associated with a particular Place, Time, Cause, or originating Components.",anti-cumulative,the classification of the event based on the meta-property 'homeomericity' cannot be determined without,durative,non-agentive,,,,
Coming to believe,"An event where a Cognizer forms a new belief about some Content, often based on reasoning or evidence.",anti-cumulative,anti-homeomeric,durative,agentive,,,,
Commerce pay,An event where a Buyer transfers Money to another party as compensation for receiving Goods or Services.,cumulative,anti-homeomeric,durative,agentive,,,,
Commerce sell,An event where a Seller transfers Goods to a Buyer in exchange for Money.,cumulative,anti-homeomeric,durative,agentive,,,,
Commitment,"An event where a Speaker pledges or undertakes to perform a specific action in the future, directed toward or concerning an Addressee.",anti-cumulative,anti-homeomeric,atomic,agentive,,,,
